City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khovd,48.00556,91.64194,270.56,19,20,0.63,MN,1710567764
1,kruisfontein,-34.00333,24.73142,291.97,64,59,10.09,ZA,1710567765
2,severo-yeniseyskiy,60.37552,93.03017,262.94,89,100,5.81,RU,1710567765
3,palikir - national government center,6.92477,158.16109,301.62,84,100,5.14,FM,1710567766
4,bilibino,68.05464,166.43721,259.01,86,70,1.42,RU,1710567767
5,grytviken,-54.28111,-36.5092,276.45,78,86,0.17,GS,1710567767
6,cidade velha,14.91531,-23.60527,294.36,78,20,4.12,CV,1710567768
7,hermanus,-34.4187,19.23446,290.26,83,75,4.59,ZA,1710567769
8,waitangi,-43.95353,-176.55973,284.72,76,34,3.58,NZ,1710567769
9,katabu,-4.9333,122.5167,304.93,55,95,1.79,ID,1710567660
10,yellowknife,62.45411,-114.37248,252.26,71,0,2.06,CA,1710567771
11,edinburgh of the seven seas,-37.06757,-12.31155,290.66,85,46,6.78,SH,1710567771
12,tughyl,47.72521,84.20629,265.05,76,43,1.54,KZ,1710567772
13,suntar,62.14444,117.63194,265.92,81,100,2.8,RU,1710567772
14,wailua homesteads,22.07244,-159.37677,294.48,83,100,5.14,US,1710567773
15,bethel,60.79222,-161.75583,257.18,76,0,7.72,US,1710567774
16,kenai,60.55444,-151.25833,272.2,71,100,0.0,US,1710567774
17,constantia,-34.03139,18.41833,290.94,92,75,2.57,ZA,1710567775
18,zouerate,22.73542,-12.47134,294.44,17,0,4.3,MR,1710567775
19,longyearbyen,78.22334,15.64689,252.3,59,75,6.69,SJ,1710567776
20,margaret river,-33.95504,115.07599,297.35,64,0,4.8,AU,1710567777
21,aasiaat,68.70981,-52.86988,248.69,100,82,2.05,GL,1710567777
22,adamstown,-25.06597,-130.10147,299.19,85,100,6.33,PN,1710567778
23,piti village,13.46256,144.69331,304.64,68,20,6.17,GU,1710567778
24,ituango,7.17117,-75.76404,291.41,96,85,0.87,CO,1710567779
25,zhezqazghan,47.78333,67.76667,264.47,86,40,1.0,KZ,1710567780
26,puerto ayora,-0.74018,-90.3138,299.86,96,93,1.26,EC,1710567780
27,mount gambier,-37.8318,140.77919,301.54,36,23,3.51,AU,1710567781
28,reyes,-14.2952,-67.33624,298.65,88,90,0.88,BO,1710567781
29,karamay,45.58473,84.88724,274.8,46,81,2.07,CN,1710567782
30,blackmans bay,-43.00311,147.31694,291.84,63,96,3.26,AU,1710567783
31,dombarovskiy,50.7587,59.5386,264.26,79,19,2.24,RU,1710567783
32,queenstown,-45.03023,168.66271,286.21,64,98,2.42,NZ,1710567784
33,veraval,20.9077,70.36786,301.9,33,27,0.28,IN,1710567785
34,stanley,-51.69382,-57.85701,277.31,76,40,6.49,FK,1710567785
35,isafjordur,66.07475,-23.13498,270.32,93,97,3.76,IS,1710567786
36,port-aux-francais,-49.34916,70.21937,278.4,71,77,5.79,TF,1710567786
